N, num_eigs, dtype, run_time, device, method, workspace_bytes
100, 5, torch.float64, 0.0006260871887207031, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
1000, 50, torch.float64, 0.06646442413330078, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
2000, 100, torch.float64, 0.33539605140686035, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
5000, 250, torch.float64, 1.8970341682434082, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
10000, 500, torch.float64, 25.054231643676758, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
15000, 750, torch.float64, 93.25932192802429, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
20000, 1000, torch.float64, 211.60771870613098, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
25000, 1250, torch.float64, 399.443922996521, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
30000, 1500, torch.float64, 670.2118513584137, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
35000, 1750, torch.float64, 1041.7957146167755, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
40000, 2000, torch.float64, None, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
45000, 2250, torch.float64, None, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
50000, 2500, torch.float64, None, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
100, 5, torch.float32, 0.011639118194580078, RTX-4090-24GB, cusolverSyevdx, 224740
1000, 50, torch.float32, 0.021250247955322266, RTX-4090-24GB, cusolverSyevdx, 12052132
2000, 100, torch.float32, 0.01878643035888672, RTX-4090-24GB, cusolverSyevdx, 48104132
5000, 250, torch.float32, 0.13426613807678223, RTX-4090-24GB, cusolverSyevdx, 300260132
10000, 500, torch.float32, 1.0960216522216797, RTX-4090-24GB, cusolverSyevdx, 1200520132
15000, 750, torch.float32, 3.48783802986145, RTX-4090-24GB, cusolverSyevdx, 2700780132
20000, 1000, torch.float32, 8.041262865066528, RTX-4090-24GB, cusolverSyevdx, 4801040132
25000, 1250, torch.float32, 15.525998830795288, RTX-4090-24GB, cusolverSyevdx, 7501300132
30000, 1500, torch.float32, 25.999504327774048, RTX-4090-24GB, cusolverSyevdx, 10801560132
35000, 1750, torch.float32, 41.133421421051025, RTX-4090-24GB, cusolverSyevdx, 14701820132
40000, 2000, torch.float32, None, RTX-4090-24GB, cusolverSyevdx, 19202080132
45000, 2250, torch.float32, None, RTX-4090-24GB, cusolverSyevdx, 24302340132
50000, 2500, torch.float32, None, RTX-4090-24GB, cusolverSyevdx, 30002600132
